obs,duration,new_car,used_car,furniture,radio_tv,education,retraining,install_rate,co_applicant,guarantor,real_estate,prop_unkn_none,age,other_install,rent,own_res,num_credits,num_dependents,telephone,foreign,response,amount
1,6,0,0,0,1,0,0,4,0,0,1,0,67,0,0,1,2,1,1,0,1,1169
2,48,0,0,0,1,0,0,2,0,0,1,0,22,0,0,1,1,1,0,0,0,5951
3,12,0,0,0,0,1,0,2,0,0,1,0,49,0,0,1,1,2,0,0,1,2096
4,42,0,0,1,0,0,0,2,0,1,0,0,45,0,0,0,1,2,0,0,1,7882
5,24,1,0,0,0,0,0,3,0,0,0,1,53,0,0,0,2,2,0,0,0,4870
6,36,0,0,0,0,1,0,2,0,0,0,1,35,0,0,0,1,2,1,0,1,9055
7,24,0,0,1,0,0,0,3,0,0,0,0,53,0,0,1,1,1,0,0,1,2835
8,36,0,1,0,0,0,0,2,0,0,0,0,35,0,1,0,1,1,1,0,1,6948
9,12,0,0,0,1,0,0,2,0,0,1,0,61,0,0,1,1,1,0,0,1,3059
10,30,1,0,0,0,0,0,4,0,0,0,0,28,0,0,1,2,1,0,0,0,5234
11,12,1,0,0,0,0,0,3,0,0,0,0,25,0,1,0,1,1,0,0,0,1295
12,48,0,0,0,0,0,1,3,0,0,0,0,24,0,1,0,1,1,0,0,0,4308
13,12,0,0,0,1,0,0,1,0,0,0,0,22,0,0,1,1,1,1,0,1,1567
14,24,1,0,0,0,0,0,4,0,0,0,0,,0,0,1,2,,0,,0,
15,15,1,0,0,0,0,0,2,0,0,0,0,28,0,1,0,1,1,0,0,1,1403
16,24,0,0,0,1,0,0,4,0,0,0,0,32,0,0,1,1,1,0,0,0,1282
17,24,0,0,0,1,0,0,4,0,0,0,0,53,0,0,1,2,1,0,0,1,2424
18,30,0,0,0,0,0,1,2,0,0,0,0,25,1,0,1,3,1,0,0,1,8072
19,24,0,1,0,0,0,0,4,0,0,0,1,44,0,0,0,1,1,1,0,0,12579
20,24,0,0,0,1,0,0,3,0,0,0,0,31,0,0,1,1,2,1,0,1,3430
21,9,1,0,0,0,,,,,,,,,,,,,,,,,
22,6,0,0,0,1,0,0,2,0,0,1,0,44,0,1,0,1,2,0,0,1,2647
23,10,1,0,0,0,0,0,1,0,0,1,0,48,0,1,0,2,2,0,1,1,2241
24,12,0,1,0,0,0,0,3,0,0,0,0,44,0,0,1,1,1,0,0,1,1804
25,10,0,0,1,0,0,0,2,0,0,0,0,26,0,0,1,2,1,0,1,1,2069
26,6,0,0,1,0,0,0,1,0,0,1,0,36,1,0,1,1,1,1,0,1,1374
27,6,0,0,0,1,0,0,,,,,,,,0,1,1,1,0,0,1,
28,12,0,0,0,1,0,0,3,0,0,1,0,42,0,1,0,2,1,0,0,1,409
29,7,0,0,0,1,0,0,3,0,1,1,0,34,0,0,1,1,1,0,0,1,2415
30,60,0,0,0,0,0,1,3,0,0,0,1,63,0,0,1,2,1,1,0,0,6836
31,18,0,0,0,0,0,1,3,0,0,1,0,36,1,0,1,1,1,1,0,1,1913
32,24,0,0,1,0,0,0,2,0,0,0,0,27,1,0,1,1,1,0,0,1,4020
33,18,1,0,0,0,0,0,2,0,0,0,0,30,0,0,1,2,1,1,0,1,5866
34,12,0,0,0,0,0,1,4,0,0,0,1,57,0,1,0,1,1,0,0,1,1264
