"","age","inc","mortgage","ccAvg","MaxCC","MinCC","sdCC","usage","family","edu","mortS","cc","cd","online","securities","infoReq","loan"
"1434","5"," 6","4"," 3","3","3","3"," 6","4","2","1","0","0","1","1","Ph","0"
"3930","4"," 5","5"," 6","5","3","4"," 6","1","1","1","1","0","1","0","Email","0"
"2039","4"," 7","1"," 3","4","5","3"," 3","1","1","0","0","0","1","0","Email","0"
"4401","1"," 1","1"," 3","3","2","2"," 1","4","2","0","0","0","0","0","Ph","0"
"4686","3"," 7","5"," 2","4","2","5"," 1","3","2","1","0","0","0","0","Email","0"
"227","3","10","1"," 1","1","1","1"," 8","2","1","0","1","1","1","0","Email","0"
"2630","2"," 2","4"," 1","1","1","1"," 3","2","3","1","0","0","1","0","Email","0"
"4444","4"," 2","1"," 1","2","2","1","10","1","2","0","1","1","1","1","Email","0"
"2746","4"," 2","4"," 3","4","5","2"," 3","3","3","1","0","0","1","0","Ph","0"
"2273","1","14","1"," 3","4","4","2"," 3","2","1","0","0","0","1","0","Ph","0"
"4762","4"," 3","1"," 3","4","4","2"," 3","2","2","0","0","0","1","0","Email","0"
"2256","1","10","1"," 2","2","5","4"," 3","4","2","0","0","0","1","0","Ph","1"
"3371","4"," 6","1"," 1","2","2","1"," 3","3","3","0","0","0","1","0","Email","0"
"2848","3"," 5","4"," 1","3","4","2"," 3","4","3","0","0","0","1","0","Email","0"
"512","1"," 3","1"," 1","2","4","2"," 1","1","3","0","0","0","0","0","Email","0"
"4474","2"," 3","1"," 1","4","4","4"," 1","4","2","0","0","0","0","0","Ph","0"
"1224","2"," 2","1"," 1","2","1","2"," 1","3","2","0","0","0","0","0","Email","0"
"209","5","12","5"," 1","3","4","3"," 8","4","1","1","1","1","1","0","Email","1"
"1630","5"," 1","4"," 4","3","2","3"," 7","3","1","1","1","1","1","0","Email","0"
"4742","3"," 6","1"," 1","2","5","4","10","1","2","0","1","1","1","1","Email","0"
"4418","4","10","1"," 2","2","3","3"," 3","2","1","0","0","0","1","0","Email","0"
"3440","4"," 9","1"," 2","4","2","2"," 8","3","2","0","0","1","1","1","Ph","1"
"3180","3"," 3","1"," 1","2","2","1"," 1","1","3","0","0","0","0","0","Email","0"
"4935","2"," 3","4"," 1","1","1","2"," 6","2","1","0","1","0","1","0","Email","0"
"3254","5"," 9","1"," 3","4","3","5"," 1","1","1","0","0","0","0","0","Ph","0"
"3516","5"," 1","1","10","2","5","5"," 3","2","3","0","0","0","1","0","Email","0"
"2699","2","13","1"," 2","5","2","5"," 3","2","1","0","0","0","1","0","Ph","0"
"2947","5"," 5","1"," 3","2","3","4"," 6","3","1","0","1","0","1","0","Email","0"
"4986","1"," 6","1"," 1","1","2","1"," 6","3","1","0","1","0","1","0","Email","0"
"730","2"," 5","1"," 1","2","1","1"," 6","2","1","0","1","0","1","0","Email","0"
