ID,age,exp,inc,mortgage,ccAvg,MaxCC,MinCC,sdCC,usage,family,edu,mortS,cc,cd,online,securities,infoReq,loan
1,39.72820826,1,49,0,20.07520605,34.26417142,25.96410565,5.962969666,0.25,4,1,0,0,0,0,1,Email,0
2,45,19,34,0,20.85664177,35.58745694,27.08489959,6.283649966,0.25,3,1,0,0,0,0,1,Email,0
3,39,15,11,0,19.1464334,32.40474395,24.72268048,5.723466961,0,1,1,0,0,0,0,0,Email,0
4,35,9,100,0,0.611467086,1.139831555,0.684011776,0.170680701,0,1,2,0,0,0,0,0,Email,0
5,35,8,45,0,18.87936727,11.14354971,32.84420272,12.96604462,0.25,4,2,0,1,0,0,0,Email,0
6,37,13,29,155,19.64469789,11.53172521,34.23520466,13.5029163,0.25,4,2,1,0,0,1,0,Email,0
7,53,27,72,0,18.24990227,10.4850918,31.3746195,12.40772064,0.25,3,2,0,0,0,1,0,Email,0
8,50,24,22,0,0.475286395,0.319600314,1.117533651,0.392795739,0.25,1,3,0,1,0,0,0,Ph,0
9,35,10,81,104,13.07459566,25.14002807,78.38627471,15.95678803,0.25,3,2,1,0,0,1,0,Ph,0
10,34,9,180,0,13.64797054,25.80290186,81.53962928,16.63671517,0,1,3,0,0,0,0,0,Ph,1
11,65,39,105,0,12.35943006,24.21189003,74.61019221,15.21937635,0,4,3,0,0,0,0,0,Ph,0
12,29,5,45,0,0.416411601,0.522638979,2.35503253,0.483835639,0.25,3,2,0,0,0,1,0,Ph,0
13,48,23,114,0,35.06954666,18.76653923,4.993074617,3.985647577,0.25,2,1,0,0,0,0,1,Email,0
14,59,32,40,53.10194669,36.6261804,19.84611383,5.2102571,4.152789383,0.25,4,2,0,0,0,1,0,Email,0
15,67,41,112,0,33.31126482,18.27662321,4.751077834,3.822680551,0.25,1,1,0,0,0,0,1,Email,0
16,60,30,22,0,1.087313294,0.454715482,0.137492593,0.091341544,0.5,1,3,0,1,0,1,0,Email,0
17,38,14,130,134,13.0445928,7.054819296,22.09309624,31.17014831,0,4,3,1,0,0,0,0,Ph,1
18,42,18,81,0,13.59458864,7.305629649,22.9093351,32.31812675,0,4,1,0,0,0,0,0,Ph,0
19,46,21,193,0,12.35407359,6.713446195,21.06761598,30.07430154,0,2,3,0,0,0,0,0,Ph,1
20,55,28,21,0,0.460590595,0.202567175,0.577764936,0.79581785,0.5,1,2,0,1,0,0,1,Email,0
21,56,23.89027171,25,111,4.949429171,19.63921602,11.01983864,13.04043838,0.25,4,2,1,0,0,1,0,Ph,0
22,57,27,63,0,5.211927815,20.61241374,11.43962968,13.57566267,0.25,3,3,0,0,0,1,0,Ph,0
23,29,5,62,54.97786638,4.777410546,19.02096356,10.63687263,12.39045431,0.25,1,1,0,0,0,1,0,Email,0
24,44,18,43,163,0.143750444,0.470984775,0.291696756,0.39969522,0.333333333,2,1,1,0,0,1,1,Email,0
25,36,11,152,159,18.86392662,5.017678473,25.31545273,27.81699466,0,2,1,1,0,0,0,0,Email,0
26,43,19,29,97,19.81299715,5.227682324,26.00590826,29.15789414,0.25,3,1,1,0,0,1,0,Email,0
27,40,16,73.4823493,0,18.1069045,4.769294279,23.83989354,26.73502703,0,4,3,0,0,0,0,0,Email,0
28,46,20,158,0,0.639665045,0.16410989,0.710458487,0.768586375,0.5,1,1,0,1,0,1,0,Ph,0
29,56,30,48,0,3.929490563,5.979361746,26.90026937,17.96039565,0.5,1,3,0,1,0,1,0,Ph,0
30,38,13,119,0,4.057616812,6.226411577,28.33600003,18.82730731,0.666666667,1,2,0,1,1,1,0,Ph,1
31,59,35,35,122,3.817871471,5.703832459,25.65331273,17.4055171,0.25,1,3,1,0,0,1,0,Ph,0
32,43.59291779,16,29,0,0.086059482,0.163936548,0.968142884,0.481246068,0.25,1,2,0,0,0,1,0,Ph,0
33,53,28,41,193,6.941749591,3.957623687,39.17666311,86.33913752,0,2,3,1,0,0,0,0,Ph,0
34,30,6,73.54688823,0,7.249671533,4.064161406,40.74504569,90.21461826,0,3,3,0,0,0,0,0,Email,0
35,31,5,50,0,6.699505665,3.824511404,37.22467546,82.85880441,0.25,4,3,0,0,0,1,0,Ph,0
36,48,24,81,0,0.191878851,0.079643018,1.137796755,2.311412586,0,3,1,0,0,0,0,0,Email,0
37,59,35,121,0,104.5954966,2.995918972,3.005421504,18.79907671,0.25,1,1,0,1,0,0,0,Ph,0
38,51,25,71,198,109.4785006,3.141680461,3.128855031,19.81651711,0,1,3,1,0,0,0,0,Email,0
39,42,18,141,0,100.072589,2.873842417,2.888535339,18.20880561,0.75,3,3,0,0,1,1,1,Ph,1
40,38,13,80,285,2.980024001,0.095465859,0.069300643,0.505828783,0.25,4,3,1,0,0,1,0,Email,0
41,57,32,84,0,30.78888153,17.8215062,16.11827975,18.08487828,0.25,3,3,0,0,0,0,1,Email,0
42,34,9,60,0,32.32880667,18.51756841,16.67178887,18.80290911,0,3,1,0,0,0,0,0,Ph,0
43,32,7,98.86770068,412,29.6051284,17.27885753,15.22727842,17.32988935,0.25,4,2,1,0,0,1,0,Ph,1
44,39,15,45,53.89683207,0.940172223,0.452063861,0.428312331,0.504377122,0.333333333,1,1,0,0,0,1,0,Email,0
45,46,20,104,0,2.00957747,23.89539831,38.85275009,9.084234701,0.666666667,1,1,0,1,0,1,0,Ph,0
46,57,31,52,0,2.095999081,25.01183895,40.72455531,9.396834942,0.25,4,1,0,1,0,0,0,Ph,0
47,39,14,43,153,1.913118054,22.87758686,37.07998127,8.644585373,0.25,3,2,1,0,0,1,0,Ph,0
48,37,12,194,211,0.067214966,0.752861226,1.250500614,0.237106643,1,4,3,1,1,1,1,1,Ph,1
49,56,26,81,0,49.55487638,19.95564486,17.82911728,13.91995205,0.25,2,3,0,1,0,0,0,Email,0
50,40,16,49,0,51.34710213,20.92576167,18.54273337,14.63895728,0.25,1,1,0,1,0,0,0,Email,0
51,32,8,8,0,47.81701089,19.21841695,17.12822115,13.38288325,0.5,4,2,0,0,0,1,1,Email,0
52,61,37,131,0,1.22025015,0.526072882,0.461091525,0.442186457,0.25,1,1,0,0,0,1,0,Email,0
53,30,6,72,207,31.89196623,52.44651178,17.97550799,57.42636259,0,1,1,1,0,0,0,0,Email,0
54,50,26,190,240,33.2691558,54.26439021,18.84805352,59.29050642,0.25,3,3,1,0,0,1,0,Ph,1
55,29,5,44,0,30.70694684,50.55563773,17.13550698,55.19264793,0.25,1,3,0,0,0,1,0,Ph,0
56,41,17,139,0,0.669678864,1.181345459,0.522809051,1.408825914,0.25,2,1,0,0,0,1,0,Email,0
57,49.02011208,30,29,0,25.92568078,51.17874394,2.029168155,5.031389529,0.75,3,2,0,0,1,1,1,Email,0
58,56,31,131,0,27.29245079,53.36067005,2.076514426,5.21218444,0,2,3,0,0,0,0,0,Ph,1
59,28,2,93,0,24.96102166,48.63144625,1.965585701,4.771109108,0,2,1,0,0,0,0,0,Email,0
60,31,5,188,455,0.693033211,1.740870659,0.044137162,0.1569549,0,2,1,1,0,0,0,0,Ph,0
61,49,22.44838039,39,53.10194669,19.25371805,23.01187257,25.25022141,3.971729362,0.5,3,2,0,0,0,1,1,Ph,0
62,47,21,125,112,19.89544199,24.11992149,26.1946529,4.155642226,0.25,1,1,1,0,0,0,1,Email,0
63,42,18,22,0,18.87188215,21.90459416,23.8219522,3.833087464,0,1,1,0,0,0,0,0,Email,0
64,42,17,32,0,0.353878036,0.776417117,0.75095898,0.107781149,0.25,4,2,0,0,0,1,0,Email,0
65,47.63745181,23,105,0,61.89438217,10.87842594,33.36971368,49.82487784,0,2,1,0,0,0,0,0,Ph,0
66,59,35,131,0,64.83427256,11.36820258,34.52894607,51.94071471,0.5,1,1,0,1,0,1,0,Email,0
67,62,36,105,336,59.12004666,10.48506354,32.13130664,47.69138806,0,2,1,1,0,0,0,0,Ph,0
68,53,23,45,132,2.143924988,0.349320207,0.84319894,1.354793786,0.25,4,3,1,0,0,0,1,Ph,0
69,47,21,60,0,31.51252172,13.00239555,25.94015628,34.23326547,0.5,3,1,0,1,0,1,0,Email,0
70,53,29,20,0,32.32657807,13.64420577,27.12748042,35.52805128,0.25,4,1,0,0,0,1,0,Email,0
71,42,18,115,0,30.5643417,12.35514327,25.02082471,32.68231813,0,1,1,0,0,0,0,0,Ph,0
72,53,22.77835442,69,0,0.6171788,0.478829587,0.681091788,1.10203369,0.25,4,2,0,0,0,1,0,Ph,0
73,44,20,130,0,97.62623443,28.98487003,16.02717676,8.987934766,0.333333333,1,1,0,1,0,1,0,Email,0
74,41,18.49063156,73.43318738,0,102.6281655,30.19110596,16.78472045,9.348218471,0.5,1,1,0,1,0,1,0,Email,0
75,39.72820826,3,135,0,94.42339007,27.70654106,15.23407468,8.559780665,0.25,2,1,0,1,0,0,0,Ph,0
76,31,7,135,0,2.564163496,0.884831581,0.486906891,0.273122103,0.75,4,2,0,1,1,1,0,Email,1
77,58,32,12,0,6.109516542,2.996702609,12.9816557,43.10534628,0,3,3,0,0,0,0,0,Email,0
78,46,20,29,0,6.290412512,3.144971026,13.53972972,44.90387839,0,3,2,0,0,0,0,0,Ph,0
79,54,30,133,0,5.851393804,2.897852289,12.36300857,41.2229383,0,2,3,0,0,0,0,0,Ph,1
80,50,26,19,118,0.11626517,0.084195251,0.486849587,1.356245096,0.25,2,1,1,0,0,1,0,Email,0
81,60,36,41,174,11.97671838,27.82604803,31.73128671,29.82510966,0.5,4,1,1,1,0,1,0,Email,0
82,47,22,40,0,12.54465132,29.36118128,33.00270567,31.45232088,0.25,3,2,0,0,0,1,0,Email,0
83,41,16,82,0,11.50019322,26.68885114,30.94392043,28.60187914,0.25,1,3,0,0,0,1,0,Ph,0
84,33,9,50,0,0.3507498,0.839991726,0.626796307,0.902740717,0,1,2,0,0,0,0,0,Email,0
85,46,22,18,0,26.09603879,11.0448388,23.88066711,26.22917629,0.25,1,3,0,0,0,1,0,Email,0
86,27,14.62091441,109,0,27.28725083,11.44131207,25.09743924,26.96965988,0,4,3,0,0,0,0,0,Email,0
87,40,16,42,126,24.86738191,10.69524247,22.80153335,24.86203671,0,4,2,1,0,0,0,0,Email,0
88,48,22,78,0,0.861488241,0.226639859,0.909323741,0.692965568,0.25,1,1,0,0,0,1,0,Email,0
89,65,41,51,0,15.14902301,23.69335404,90.02160949,39.36634007,0.25,2,1,0,0,0,1,0,Ph,0
90,25,-1,113,0,15.74629999,24.88682903,92.2770526,40.74340751,0.25,4,3,0,1,0,0,0,Email,0
91,55,30,118,63.06756376,14.57574765,22.93871509,86.91483265,37.20712882,0.25,4,2,0,0,0,1,0,Ph,1
92,35,10,29,0,0.384130703,0.671895194,1.816397169,1.095805852,0.25,4,3,0,0,0,1,0,Ph,0
93,43,19,34,0,9.044661176,81.82800682,79.23201021,31.05913303,0,1,2,0,0,0,0,0,Email,0
94,60,34,71.97506636,236,9.443287026,84.58803016,82.3315359,32.50921331,0.5,1,3,1,0,0,1,1,Ph,0
95,65,39,121,0,8.567496495,77.08753242,77.11067154,29.68598282,0,1,1,0,0,0,0,0,Email,0
96,38,12,48,0,0.278004427,2.723178294,1.638082226,1.068195317,0.25,4,3,0,0,0,1,0,Ph,0
97,41,18.49063156,80,0,51.46377026,21.99730761,5.120367489,24.08566495,0,1,1,0,0,0,0,0,Email,0
98,54,28,161,0,53.44033375,22.95498065,5.228239381,25.09563816,0.333333333,1,1,0,0,0,1,0,Ph,0
99,49,23,94,0,49.39539047,21.00534383,4.91728512,22.82999796,0.25,1,1,0,0,0,1,0,Email,0
100,66,41,15,0,1.425818989,0.706487603,0.091539246,0.754205436,0.25,3,3,0,0,0,1,0,Email,0
101,48,23,74,0,5.943078284,39.52769672,14.93641326,26.01225087,0.25,1,1,0,0,0,1,0,Email,0
102,61,36,30,0,6.219479905,41.39685363,15.72089405,27.23235447,0,3,2,0,0,0,0,0,Ph,0
103,53,23,71.4209525,198,5.72499831,38.10269312,14.26250362,24.73236597,0.5,3,3,1,1,0,1,0,Email,0
104,43,18.49063156,22,0,0.176005057,0.926013058,0.516444772,0.80068203,0.25,2,2,0,0,0,1,0,Ph,0
105,56,32,38,166,3.021507407,11.11907176,6.99049511,35.14116458,0.333333333,4,1,1,1,0,1,0,Email,0
106,24,0,35,0,3.149112729,11.46750696,7.251177915,36.63125415,0.666666667,3,2,0,0,0,1,1,Ph,0
107,43,17,73.43318738,0,2.899750369,10.55618576,6.756101146,33.76028979,0.5,4,1,0,1,0,1,0,Email,0
108,42,18,43,136,0.087205151,0.320748855,0.188642994,0.940623465,0,1,1,1,0,0,0,0,Ph,0
109,33,7,32,166,30.6904175,102.6974611,13.99475318,11.9322847,0.25,1,3,1,0,0,1,0,Email,0
110,43,17,49,0,32.34738887,107.5604629,14.53188445,12.44747556,0.333333333,1,1,0,0,0,1,0,Email,0
111,41,14,9,0,29.53505753,99.38927674,13.41821614,11.45552195,0,3,1,0,0,0,0,0,Email,0
112,62,38,45,0,0.949880346,2.998863295,0.393367644,0.351597624,0.25,4,2,0,0,0,1,0,Email,0
113,40,15,82,309,27.71602089,31.93989425,58.57741681,7.002197686,0,3,1,1,0,0,0,0,Email,0
114,58,34,92,103,29.27359373,32.92510819,60.86215909,7.29564507,0,2,1,1,0,0,0,0,Email,0
115,39,14,39,0,26.69466209,30.54525173,55.13864251,6.714901716,0.333333333,3,3,0,0,0,1,0,Ph,0
116,65,40,81,0,0.801042896,0.76715748,1.8338296,0.22147019,0.333333333,3,2,0,0,0,1,0,Email,0
117,54,29,35,0,43.72309422,4.984747347,1.987716843,33.20823976,0.25,1,2,0,0,0,1,0,Ph,0
118,50.41172764,33,61,55.06341322,44.91185097,5.242727726,2.077076603,34.38292991,0.25,2,3,0,0,0,1,0,Email,0
119,41,16,73,0,42.15133646,4.754377187,1.922836372,31.52584243,0.25,3,1,0,0,0,1,0,Email,0
120,32,7,112,366,0.99719377,0.188089293,0.046946434,0.771578221,0,1,1,1,0,0,0,0,Email,0
121,54,22.84733126,12,0,15.0367942,24.09795487,19.0778091,88.30601971,0.25,2,3,0,0,0,1,0,Email,0
122,52,26,38,0,15.67820459,25.03081792,19.91539031,91.85628119,0.25,3,3,0,0,0,1,0,Email,0
123,58,32,73,0,14.43390611,22.90857898,18.05364772,83.69314539,0.5,2,2,0,1,0,1,0,Email,0
124,37,13,84,0,0.401191655,0.762379709,0.602772391,2.350572145,0.25,1,2,0,0,0,0,1,Email,0
125,39,15,69.86849029,118,26.00991556,29.97164305,12.87677608,15.8142475,0.25,4,1,1,0,0,1,0,Email,0
126,60,35,80,0,27.27186875,31.15521691,13.61050203,16.61739317,0.25,3,1,0,0,0,1,0,Email,0
127,31,5,115,101,24.74276697,28.63592295,12.37673993,15.20333086,0.5,2,1,1,1,0,1,0,Email,0
128,34,8,82,251,0.794752816,0.996319113,0.415853717,0.483938062,0.25,1,2,1,0,0,1,0,Ph,0
129,38,14,74,0,7.031616454,15.93671202,11.09421379,28.08327992,0.5,2,1,0,0,0,1,1,Email,0
130,41,16,70,0,7.348256386,16.72103781,11.51081216,29.31470271,0.25,3,3,0,1,0,0,0,Email,0
131,28,4,81,276,6.763405449,15.21313162,10.53815648,26.68311979,0.25,3,1,1,0,0,1,0,Ph,0
132,58,34,149,0,0.203824636,0.535343391,0.359263901,1.004800747,0.75,4,2,0,1,1,1,0,Ph,1
133,31,1,51,0,11.92433743,45.88969234,14.1058063,17.87864544,0,2,3,0,0,0,0,0,Email,0
134,30,4,39,0,12.54249268,47.06615547,14.62974616,18.47835198,0.25,3,2,0,0,0,1,0,Ph,0
135,53,29,98,0,11.43118956,43.72885276,13.57898091,17.37992275,0,3,2,0,0,0,0,0,Ph,0
136,58,33,45,0,0.41958441,1.086579716,0.287952482,0.336876817,0.5,1,1,0,1,0,1,0,Email,0
137,59,32,49,0,23.8465186,32.25816251,24.7918867,49.92633483,0,4,2,0,0,0,1,0,Ph,0
138,49,25,128,0,25.01198137,33.36546196,25.83126297,52.32493251,0,2,1,0,0,0,0,0,Email,0
139,59,34,42,0,22.89704429,30.59619651,23.83747045,47.65206901,0.75,3,1,0,1,1,0,1,Email,0
140,59,35,18,0,0.731715974,0.937394136,0.61171079,1.429732058,0.25,1,1,0,0,0,1,0,Email,0
141,51,25,31,161,9.064960583,22.21923576,9.066690292,31.03100434,0.5,2,1,1,1,0,1,0,Email,0
142,41.99841966,11,70.39882234,149,9.437978969,23.08631326,9.402462458,32.49641179,0.5,3,1,1,1,0,1,0,Email,0
143,33,9,48,0,8.570110644,21.08097071,8.656588204,29.46063073,0.25,1,2,0,1,0,0,0,Email,0
144,25,14.62091441,54,0,0.298865281,0.693392505,0.282678442,1.135163862,0.666666667,4,1,0,1,0,1,0,Email,0
145,49,23,70,0,37.92561066,14.14726878,53.90631157,4.04151903,0,2,2,0,0,0,0,0,Email,0
146,59,35,124,0,39.3471793,14.68490349,56.50638431,4.183259844,0.25,1,1,0,1,0,0,0,Email,0
147,46,19,84,56.63473292,36.2349014,13.47737265,51.48435359,3.845888801,0.5,1,1,0,1,0,1,0,Ph,0
148,50,25,83,188,1.009210037,0.394920852,1.468985016,0.1164594,0.25,4,1,1,0,0,1,0,Email,0
