Date,No. of Units (in thousands)
1/1/2013,60.34
2/1/2013,59.31
3/1/2013,59.61
4/1/2013,59.61
5/1/2013,62.25
6/1/2013,62.25
7/1/2013,59.49
8/1/2013,59.78
9/1/2013,60.5
10/1/2013,60.22
11/1/2013,60.6
12/1/2013,61.38
13-01-2013,64.37
14-01-2013,61.17
15-01-2013,66.18
16-01-2013,68.58
17-01-2013,71.72
18-01-2013,71.51
19-01-2013,67.89
20-01-2013,67.89
21-01-2013,67.89
22-01-2013,69.06
23-01-2013,71.72
24-01-2013,71.72
25-01-2013,71.72
26-01-2013,71.72
27-01-2013,69.06
28-01-2013,69.2
29-01-2013,68.16
30-01-2013,68.16
31-01-2013,68.16
1/2/2013,68.16
2/2/2013,68.16
3/2/2013,68.16
4/2/2013,57.18
5/2/2013,55.25
6/2/2013,55.59
7/2/2013,54.3
8/2/2013,53.99
9/2/2013,53.56
10/2/2013,53.33
11/2/2013,53.33
12/2/2013,53.33
13-02-2013,52.26
14-02-2013,50.75
15-02-2013,53.33
16-02-2013,53.33
17-02-2013,53.33
18-02-2013,53.33
19-02-2013,50.76
20-02-2013,50.41
21-02-2013,53.55
22-02-2013,52.69
23-02-2013,52.69
24-02-2013,55.77
25-02-2013,54.12
26-02-2013,54.12
27-02-2013,54.12
28-02-2013,53.08
1/3/2013,53.08
2/3/2013,53.08
3/3/2013,53.08
4/3/2013,53.08
5/3/2013,53.08
6/3/2013,51.26
7/3/2013,51.26
8/3/2013,51.26
9/3/2013,51.8
10/3/2013,49.09
11/3/2013,48.18
12/3/2013,48.18
13-03-2013,47.27
14-03-2013,47.27
15-03-2013,47.27
16-03-2013,47.27
17-03-2013,51.83
18-03-2013,51.83
19-03-2013,51.83
20-03-2013,52.37
21-03-2013,55.08
22-03-2013,55.08
23-03-2013,64.37
24-03-2013,66.95
25-03-2013,66.95
26-03-2013,66.95
27-03-2013,66.95
28-03-2013,66.95
29-03-2013,60.4
30-03-2013,60.4
31-03-2013,60.4
1/4/2013,57.34
2/4/2013,57.34
3/4/2013,57.34
4/4/2013,57.63
5/4/2013,54.9
6/4/2013,54.79
7/4/2013,57.27
8/4/2013,57.27
9/4/2013,55.22
10/4/2013,55.22
11/4/2013,55.22
12/4/2013,55.22
13-04-2013,54.05
14-04-2013,54.04
15-04-2013,52
16-04-2013,55.32
17-04-2013,55.32
18-04-2013,55.32
19-04-2013,53.59
20-04-2013,54.64
21-04-2013,52.08
22-04-2013,51.83
23-04-2013,45.78
24-04-2013,47.29
25-04-2013,47.29
26-04-2013,48.17
27-04-2013,48.2
28-04-2013,48.2
29-04-2013,48.2
30-04-2013,47.06
1/5/2013,47.06
2/5/2013,39.38
3/5/2013,39.38
4/5/2013,39.38
5/5/2013,39.38
6/5/2013,39.38
7/5/2013,39.38
8/5/2013,39.38
9/5/2013,39.38
10/5/2013,39.38
11/5/2013,39.38
12/5/2013,39.38
13-05-2013,43.2
14-05-2013,43.2
