Amount,PersonID,FamilySize,Distance,Duration,DirectVisits,OnlineVisits,Quantity,NumberofFrequentItems,TransactionMode,Area,Occupation
3125,C1104,2,6,261,11,9,365,11,2,Area1,2
5298,C1111,2,5,323,9,9,218,3,2,Area1,1
4375,C1117,2,6,355,11,11,1367,11,2,Area1,2
8702,C1124,2,4,189,22,18,267,12,2,Area1,3
3375,C1127,3,6,453,12,10,4036,12,1,Area1,1
9700,C1128,5,7,418,51,41,2947,51,1,Area1,1
3625,C1132,2,7,290,9,9,1233,8,2,Area1,3
2938,C1133,5,7,448,20,10,4788,20,1,Area1,2
3999,C1135,2,5,392,20,17,1065,19,2,Area1,2
4563,C1139,3,6,378,23,22,4183,23,1,Area1,2
2688,C1142,3,7,379,16,11,123,16,2,Area1,3
4563,C1146,2,7,437,28,18,357,28,2,Area1,3
6375,C1150,5,9,387,19,15,1712,15,2,Area1,2
3261,C1165,4,6,378,13,12,911,9,2,Area1,1
3680,C1166,3,5,384,19,16,1915,19,2,Area2,3
2903,C1167,2,5,398,12,12,240,12,2,Area2,3
2836,C1168,3,6,439,8,8,1628,8,2,Area2,3
2889,C1169,4,7,413,14,14,1324,14,2,Area2,2
3191,C1170,3,12,430,13,13,675,13,2,Area2,2
2666,C1171,5,9,346,12,12,1339,12,2,Area2,1
3225,C1176,4,8,379,14,14,2750,14,1,Area2,2
3226,C1189,2,4,230,13,13,756,13,2,Area2,2
3203,C1191,4,5,454,19,11,41,19,2,Area2,2
3361,C1195,3,10,195,10,10,338,10,2,Area2,2
3131,C1202,3,6,403,7,7,130,7,2,Area2,1
5586,C1203,3,7,403,17,17,3895,17,2,Area2,2
7748,C1205,2,6,378,29,29,5573,29,2,Area2,1
3492,C1206,2,3,301,17,17,57,17,2,Area2,1
3200,C1210,2,4,390,11,11,758,11,2,Area2,1
2562,C1211,4,7,463,8,8,2682,8,1,Area2,1
3393,C1212,4,6,455,10,10,813,10,2,Area2,1
4012,C1215,5,7,370,12,12,710,12,2,Area2,3
4538,C1216,2,5,304,9,9,1330,9,2,Area2,3
3077,C1221,3,7,228,6,6,1096,6,2,Area2,1
2778,C1227,4,8,377,8,8,1060,8,2,Area2,2
3055,C1232,2,5,321,13,12,5396,13,2,Area2,1
2540,C1233,2,7,182,8,8,333,8,2,Area2,3
2792,C1247,3,9,166,11,11,540,11,2,Area2,2
2576,C1255,3,7,294,11,11,1621,11,2,Area2,3
2944,C1257,2,7,229,7,7,1246,7,2,Area2,2
2761,C1258,2,7,204,11,11,1908,11,2,Area2,1
4070,C1259,3,6,234,12,12,315,12,2,Area2,2
4068,C1266,2,7,303,12,11,1749,12,2,Area2,3
3372,C1271,4,10,455,17,17,4599,17,2,Area2,1
2980,C1272,2,7,286,8,8,497,8,2,Area2,1
3769,C1275,2,6,383,13,13,249,13,2,Area2,3
4407,C1276,3,11,196,13,13,1138,13,2,Area2,1
3277,C1277,3,6,367,16,16,10,16,2,Area2,1
2776,C1278,2,6,272,5,5,768,5,2,Area2,2
3936,C1283,2,7,469,8,8,1767,8,2,Area2,3
4492,C1287,4,20,382,16,16,347,16,2,Area2,2
3042,C1293,4,6,249,13,13,3583,13,2,Area2,3
3334,C1296,3,6,388,14,14,158,14,2,Area2,3
3149,C1300,3,6,343,8,8,1835,8,2,Area2,3
2865,C1309,3,6,367,12,12,1728,12,2,Area2,3
3032,C1312,3,6,370,12,9,466,12,2,Area2,3
2543,C1319,4,8,331,13,11,188,13,2,Area2,1
2597,C1332,3,7,369,9,8,892,9,1,Area2,1
3522,C1341,3,5,388,14,13,5065,14,1,Area2,1
4353,C1342,2,4,468,21,15,1269,21,2,Area2,2
4063,C1350,2,5,372,26,21,124,26,2,Area2,1
3400,C1361,2,5,457,16,16,2556,16,2,Area2,1
3287,C1370,3,6,365,13,13,2424,13,2,Area2,1
3015,C1382,2,7,365,5,5,264,5,2,Area2,3
3130,C1389,2,5,431,13,13,1776,13,2,Area2,2
3200,C1390,2,5,238,15,15,1002,15,2,Area2,2
2922,C1395,4,8,363,8,8,750,8,2,Area2,1
2858,C1398,3,7,459,16,16,4413,16,2,Area2,2
2780,C1399,2,5,335,9,9,1582,9,2,Area2,3
2882,C1410,2,7,464,13,13,684,13,2,Area2,1
2542,C1414,3,5,454,6,6,749,6,2,Area2,2
5572,C1416,2,6,158,22,22,1070,22,2,Area2,3
4172,C1422,6,6,295,16,16,7097,16,2,Area2,3
2795,C1426,4,10,454,12,12,620,12,2,Area2,2
2753,C1427,3,20,334,9,9,264,9,2,Area2,3
4046,C1430,2,5,410,14,14,7809,14,2,Area2,1
6009,C1436,2,6,361,17,17,557,17,2,Area2,2
3133,C1442,2,5,332,10,10,831,10,2,Area2,3
4237,C1445,2,5,388,15,15,649,15,2,Area2,1
5052,C1448,4,5,392,21,21,582,21,2,Area2,3
4803,C1449,3,6,364,17,17,396,17,2,Area2,2
2883,C1450,2,3,435,10,10,1625,10,2,Area2,3
2539,C1458,2,4,442,9,9,468,9,2,Area2,1
3684,C1459,4,6,425,19,19,2590,19,2,Area2,2
4707,C1463,3,5,293,15,14,2434,15,2,Area2,3
4616,C1465,2,5,419,17,17,3419,17,2,Area2,1
4552,C1466,3,6,380,11,11,1528,11,2,Area2,2
2718,C1470,3,7,363,12,12,2481,12,2,Area2,2
12225,C1477,3,4,446,49,49,11311,49,2,Area1,2
2563,C1478,2,8,276,11,11,3223,11,2,Area1,2
2688,C1484,4,6,315,15,13,6168,15,1,Area1,3
2584,C1489,4,6,214,7,7,30,1,2,Area1,3
4137,C1492,4,9,348,14,13,901,11,2,Area1,2
3375,C1493,3,9,367,19,14,147,19,2,Area1,2
3250,C1501,2,7,357,1,1,0,0,2,Area1,3
3125,C1503,3,6,372,11,11,988,11,2,Area1,1
3063,C1504,4,7,372,11,11,3654,11,2,Area1,1
7875,C1507,2,3,349,29,29,58,29,2,Area1,1
2788,C1511,4,9,456,6,6,1570,6,2,Area2,2
4013,C1514,2,5,454,20,16,839,19,1,Area1,1
7906,C1521,4,6,352,36,28,987,33,2,Area1,2
2749,C1531,6,7,362,8,8,923,4,1,Area1,3
2875,C1532,4,7,445,16,15,6605,16,1,Area1,1
4499,C1539,3,5,470,24,19,3345,20,1,Area1,2
12437,C1541,4,7,239,39,40,3378,38,2,Area1,2
4062,C1544,3,8,356,14,15,375,13,2,Area1,3
3093,C1548,3,6,442,7,7,0,1,2,Area1,1
5873,C1561,3,8,298,13,9,434,8,1,Area1,1
10989,C1563,8,6,428,42,38,9538,42,2,Area2,1
5313,C1565,3,4,440,34,34,1851,34,2,Area1,1
4250,C1570,3,7,225,29,29,269,29,2,Area1,1
6969,C1573,4,7,471,29,25,5751,29,2,Area2,1
4509,C1575,3,6,469,26,23,2933,26,2,Area1,1
3313,C1578,2,6,104,12,9,744,12,1,Area1,1
3224,C1579,3,6,432,10,10,271,10,2,Area2,1
2750,C1582,4,8,450,21,16,9151,21,2,Area1,1
2813,C1587,2,3,320,19,15,9,19,2,Area1,1
3937,C1590,3,10,371,25,18,1804,22,2,Area1,2
3438,C1593,2,9,367,9,9,727,6,2,Area1,2
3188,C1608,5,8,442,26,19,1326,26,1,Area1,2
10023,C1619,3,6,324,30,29,3971,21,2,Area1,2
2766,C1621,2,6,456,10,10,1629,8,1,Area1,3
3625,C1626,2,5,213,11,10,212,11,1,Area1,3
2836,C1627,3,10,336,14,13,447,11,2,Area1,3
2938,C1628,3,7,342,15,15,1911,15,2,Area1,3
3794,C1636,2,8,175,6,14,242,0,2,Area1,2
3512,C1638,3,10,372,20,21,804,17,2,Area1,2
3950,C1639,3,5,377,25,20,3201,24,2,Area1,3
3312,C1640,2,4,337,16,16,266,15,2,Area1,1
2625,C1644,5,7,350,11,11,718,11,2,Area1,2
2625,C1647,2,5,413,9,9,419,9,2,Area1,3
5188,C1658,3,8,297,36,22,812,36,2,Area1,3
4397,C1660,3,6,369,12,13,893,8,2,Area1,3
6697,C1665,4,7,356,26,22,1445,19,1,Area1,3
